,claw_length_cm,endangered,size_cm,specie,sub_specie,tail_length_cm,weight_kg
103,8.584,vulnerable,65.054,three_toed,Maned three-toed sloth,6.456,4.577
104,8.004,vulnerable,64.306,three_toed,Maned three-toed sloth,6.093,7.441
105,6.976,vulnerable,63.189,three_toed,Maned three-toed sloth,4.905,7.146
106,7.791,vulnerable,63.942,three_toed,Maned three-toed sloth,5.947,8.005
107,6.438,vulnerable,63.834,three_toed,Maned three-toed sloth,4.653,5.707
108,8.11,vulnerable,63.708,three_toed,Maned three-toed sloth,5.672,4.297
109,7.563,vulnerable,63.22,three_toed,Maned three-toed sloth,5.225,5.948
110,8.003,vulnerable,63.146,three_toed,Maned three-toed sloth,3.655,6.49
111,7.467,vulnerable,64.823,three_toed,Maned three-toed sloth,4.544,4.726
112,7.483,vulnerable,63.974,three_toed,Maned three-toed sloth,5.24,6.594
113,7.129,vulnerable,64.528,three_toed,Maned three-toed sloth,5.328,5.412
114,7.154,vulnerable,64.282,three_toed,Maned three-toed sloth,4.861,4.336
115,8.978,vulnerable,61.977,three_toed,Maned three-toed sloth,4.151,5.635
116,7.268,vulnerable,61.703,three_toed,Maned three-toed sloth,4.935,4.902
117,7.045,vulnerable,62.952,three_toed,Maned three-toed sloth,5.412,3.441
118,6.674,vulnerable,64.169,three_toed,Maned three-toed sloth,4.574,4.937
119,5.298,vulnerable,64.139,three_toed,Maned three-toed sloth,6.986,5.864
120,6.765,vulnerable,64.484,three_toed,Maned three-toed sloth,7.348,5.356
121,7.215,vulnerable,65.057,three_toed,Maned three-toed sloth,3.841,4.695
122,9.341,vulnerable,63.135,three_toed,Maned three-toed sloth,5.712,6.341
123,7.003,vulnerable,62.148,three_toed,Maned three-toed sloth,4.887,7.478
124,7.126,vulnerable,62.356,three_toed,Maned three-toed sloth,2.835,6.246
125,6.039,vulnerable,63.989,three_toed,Maned three-toed sloth,5.699,5.608
126,7.652,vulnerable,63.205,three_toed,Maned three-toed sloth,6.265,5.159
127,7.084,vulnerable,65.176,three_toed,Maned three-toed sloth,4.118,6.094
128,6.884,vulnerable,62.845,three_toed,Maned three-toed sloth,4.214,5.512
129,7.156,vulnerable,63.034,three_toed,Maned three-toed sloth,5.713,6.79
130,6.631,vulnerable,63.738,three_toed,Maned three-toed sloth,5.652,5.804
131,8.3,vulnerable,62.134,three_toed,Maned three-toed sloth,3.748,5.703
132,7.669,vulnerable,62.638,three_toed,Maned three-toed sloth,4.821,5.32
133,5.872,vulnerable,64.69,three_toed,Maned three-toed sloth,4.964,7.565
134,7.196,vulnerable,63.364,three_toed,Maned three-toed sloth,4.786,4.651
135,7.046,vulnerable,64.604,three_toed,Maned three-toed sloth,3.823,5.493
136,6.4,vulnerable,65.015,three_toed,Maned three-toed sloth,6.268,5.977
137,6.432,vulnerable,63.064,three_toed,Maned three-toed sloth,5.732,5.978
138,8.349,vulnerable,63.066,three_toed,Maned three-toed sloth,4.642,6.435
139,6.696,vulnerable,63.073,three_toed,Maned three-toed sloth,4.914,5.425
140,6.143,vulnerable,62.76,three_toed,Maned three-toed sloth,6.698,7.476
141,7.121,vulnerable,64.721,three_toed,Maned three-toed sloth,4.865,5.207
142,7.888,vulnerable,62.333,three_toed,Maned three-toed sloth,4.663,5.009
143,8.033,vulnerable,64.321,three_toed,Maned three-toed sloth,4.198,4.853
144,8.434,vulnerable,63.629,three_toed,Maned three-toed sloth,4.738,4.698
145,6.706,vulnerable,63.676,three_toed,Maned three-toed sloth,3.575,6.01
146,7.79,vulnerable,62.203,three_toed,Maned three-toed sloth,3.814,3.981
147,9.013,vulnerable,63.051,three_toed,Maned three-toed sloth,4.001,5.351
148,7.715,vulnerable,63.971,three_toed,Maned three-toed sloth,5.733,6.871
149,7.804,vulnerable,63.218,three_toed,Maned three-toed sloth,5.199,4.423
150,8.154,vulnerable,63.618,three_toed,Maned three-toed sloth,2.526,6.185
151,7.794,vulnerable,63.957,three_toed,Maned three-toed sloth,5.257,4.903
152,6.647,vulnerable,63.525,three_toed,Maned three-toed sloth,4.101,3.54
153,7.423,vulnerable,62.331,three_toed,Maned three-toed sloth,4.752,5.653
154,8.15,vulnerable,63.207,three_toed,Maned three-toed sloth,3.58,5.092
155,9.738,vulnerable,63.562,three_toed,Maned three-toed sloth,4.508,6.75
156,6.19,vulnerable,61.987,three_toed,Maned three-toed sloth,4.331,5.027
157,8.826,vulnerable,64.488,three_toed,Maned three-toed sloth,4.32,4.824
158,9.383,vulnerable,64.055,three_toed,Maned three-toed sloth,5.889,5.706
159,7.592,vulnerable,64.316,three_toed,Maned three-toed sloth,2.963,5.631
160,6.946,vulnerable,64.423,three_toed,Maned three-toed sloth,4.242,5.788
161,7.667,vulnerable,64.312,three_toed,Maned three-toed sloth,4.738,5.813
162,7.6,vulnerable,62.699,three_toed,Maned three-toed sloth,5.579,7.132
163,7.789,vulnerable,64.287,three_toed,Maned three-toed sloth,4.881,5.912
164,7.69,vulnerable,62.524,three_toed,Maned three-toed sloth,5.805,6.916
165,6.412,vulnerable,63.749,three_toed,Maned three-toed sloth,3.961,5.89
166,5.7,vulnerable,61.946,three_toed,Maned three-toed sloth,4.257,5.934
167,6.692,vulnerable,63.378,three_toed,Maned three-toed sloth,7.262,5.625
168,7.455,vulnerable,62.357,three_toed,Maned three-toed sloth,4.629,4.619
169,8.522,vulnerable,63.937,three_toed,Maned three-toed sloth,4.73,4.675
170,7.804,vulnerable,64.829,three_toed,Maned three-toed sloth,4.566,4.022
171,7.475,vulnerable,62.713,three_toed,Maned three-toed sloth,5.26,5.344
172,7.662,vulnerable,64.995,three_toed,Maned three-toed sloth,5.33,6.28
173,6.05,vulnerable,63.637,three_toed,Maned three-toed sloth,4.612,6.133
174,8.303,vulnerable,64.857,three_toed,Maned three-toed sloth,5.493,5.417
175,6.16,vulnerable,64.326,three_toed,Maned three-toed sloth,5.128,6.704
176,9.38,vulnerable,65.837,three_toed,Maned three-toed sloth,4.894,4.911
177,8.289,vulnerable,63.384,three_toed,Maned three-toed sloth,5.021,4.34
178,7.931,vulnerable,64.22,three_toed,Maned three-toed sloth,3.006,6.309
179,7.258,vulnerable,64.128,three_toed,Maned three-toed sloth,5.246,5.95
180,9.019,vulnerable,61.702,three_toed,Maned three-toed sloth,4.898,4.909
181,6.844,vulnerable,64.31,three_toed,Maned three-toed sloth,3.152,5.63
182,7.525,vulnerable,61.507,three_toed,Maned three-toed sloth,3.361,4.899
183,7.262,vulnerable,63.678,three_toed,Maned three-toed sloth,4.989,6.211
184,5.693,vulnerable,62.684,three_toed,Maned three-toed sloth,4.545,6.648
185,8.766,vulnerable,62.454,three_toed,Maned three-toed sloth,6.256,6.379
186,6.098,vulnerable,64.251,three_toed,Maned three-toed sloth,3.006,6.294
187,10.281,vulnerable,64.186,three_toed,Maned three-toed sloth,3.827,7.137
188,6.57,vulnerable,64.369,three_toed,Maned three-toed sloth,6.378,6.249
189,8.351,vulnerable,62.249,three_toed,Maned three-toed sloth,4.297,5.652
190,7.854,vulnerable,64.309,three_toed,Maned three-toed sloth,5.848,5.11
191,8.147,vulnerable,65.173,three_toed,Maned three-toed sloth,5.496,4.971
192,8.664,vulnerable,61.723,three_toed,Maned three-toed sloth,5.507,5.438
193,6.207,vulnerable,64.5,three_toed,Maned three-toed sloth,3.859,6.366
194,7.142,vulnerable,64.038,three_toed,Maned three-toed sloth,4.171,5.401
195,7.99,vulnerable,62.65,three_toed,Maned three-toed sloth,6.114,4.727
196,6.3,vulnerable,63.686,three_toed,Maned three-toed sloth,4.376,6.316
197,8.697,vulnerable,62.256,three_toed,Maned three-toed sloth,4.129,4.953
198,5.876,vulnerable,65.015,three_toed,Maned three-toed sloth,3.224,6.356
199,7.09,vulnerable,63.53,three_toed,Maned three-toed sloth,6.137,6.498
200,9.365,vulnerable,62.094,three_toed,Maned three-toed sloth,4.321,5.604
201,5.936,vulnerable,62.92,three_toed,Maned three-toed sloth,4.966,4.682
202,8.32,vulnerable,64.523,three_toed,Maned three-toed sloth,4.952,7.377
203,6.375,vulnerable,61.809,three_toed,Maned three-toed sloth,4.425,6.624
204,7.072,vulnerable,63.023,three_toed,Maned three-toed sloth,6.715,5.324
205,8.041,vulnerable,65.159,three_toed,Maned three-toed sloth,3.643,5.709
206,8.914,vulnerable,64.757,three_toed,Maned three-toed sloth,4.681,7.601
207,10.0,vulnerable,62.688,three_toed,Maned three-toed sloth,4.54,5.666
208,6.807,vulnerable,63.262,three_toed,Maned three-toed sloth,4.576,5.75
209,7.44,vulnerable,61.337,three_toed,Maned three-toed sloth,3.416,6.701
210,7.539,vulnerable,64.871,three_toed,Maned three-toed sloth,4.196,6.399
211,6.152,vulnerable,64.478,three_toed,Maned three-toed sloth,4.143,6.407
212,8.561,vulnerable,64.593,three_toed,Maned three-toed sloth,3.687,4.369
213,6.799,vulnerable,65.383,three_toed,Maned three-toed sloth,2.913,6.231
214,8.206,vulnerable,61.442,three_toed,Maned three-toed sloth,6.036,4.985
215,6.187,vulnerable,62.061,three_toed,Maned three-toed sloth,4.258,5.444
216,8.921,vulnerable,64.373,three_toed,Maned three-toed sloth,3.808,7.029
217,6.559,vulnerable,63.081,three_toed,Maned three-toed sloth,2.018,5.972
218,6.67,vulnerable,63.702,three_toed,Maned three-toed sloth,5.91,5.146
219,8.212,vulnerable,63.978,three_toed,Maned three-toed sloth,3.924,5.623
220,8.134,vulnerable,62.468,three_toed,Maned three-toed sloth,4.536,5.056
221,7.522,vulnerable,65.305,three_toed,Maned three-toed sloth,6.538,5.195
222,8.702,vulnerable,63.607,three_toed,Maned three-toed sloth,4.333,4.426
223,6.849,vulnerable,64.24,three_toed,Maned three-toed sloth,2.966,4.38
224,5.097,vulnerable,60.906,three_toed,Maned three-toed sloth,4.095,5.421
225,5.705,vulnerable,62.847,three_toed,Maned three-toed sloth,5.941,6.331
226,7.986,vulnerable,62.981,three_toed,Maned three-toed sloth,5.936,6.648
227,5.856,vulnerable,63.464,three_toed,Maned three-toed sloth,4.05,5.598
228,7.1,vulnerable,61.642,three_toed,Maned three-toed sloth,4.956,5.33
229,7.93,vulnerable,63.799,three_toed,Maned three-toed sloth,4.975,5.737
230,8.129,vulnerable,64.019,three_toed,Maned three-toed sloth,4.641,6.615
231,7.274,vulnerable,63.147,three_toed,Maned three-toed sloth,6.363,4.191
232,8.294,vulnerable,62.804,three_toed,Maned three-toed sloth,4.934,6.67
233,7.008,vulnerable,62.967,three_toed,Maned three-toed sloth,5.437,4.564
234,7.242,vulnerable,63.616,three_toed,Maned three-toed sloth,5.43,5.002
235,7.041,vulnerable,63.985,three_toed,Maned three-toed sloth,5.511,6.061
236,7.579,vulnerable,63.101,three_toed,Maned three-toed sloth,4.174,6.875
237,7.939,vulnerable,62.701,three_toed,Maned three-toed sloth,4.765,6.33
238,8.118,vulnerable,65.036,three_toed,Maned three-toed sloth,3.319,2.859
239,8.264,vulnerable,64.423,three_toed,Maned three-toed sloth,4.654,5.668
240,7.491,vulnerable,63.17,three_toed,Maned three-toed sloth,4.316,5.487
241,9.275,vulnerable,62.885,three_toed,Maned three-toed sloth,4.396,5.519
242,8.77,vulnerable,61.936,three_toed,Maned three-toed sloth,4.868,5.983
243,8.914,vulnerable,64.381,three_toed,Maned three-toed sloth,4.512,5.594
244,9.255,vulnerable,63.147,three_toed,Maned three-toed sloth,6.084,4.994
245,7.233,vulnerable,64.541,three_toed,Maned three-toed sloth,4.95,5.914
246,7.249,vulnerable,63.532,three_toed,Maned three-toed sloth,2.677,5.347
247,8.1,vulnerable,64.488,three_toed,Maned three-toed sloth,3.864,5.115
248,6.139,vulnerable,62.8,three_toed,Maned three-toed sloth,5.208,6.793
249,7.101,vulnerable,62.291,three_toed,Maned three-toed sloth,3.793,5.677
250,9.211,vulnerable,62.639,three_toed,Maned three-toed sloth,4.396,5.596
251,7.032,vulnerable,65.962,three_toed,Maned three-toed sloth,4.971,6.451
252,7.906,vulnerable,63.639,three_toed,Maned three-toed sloth,6.189,5.981
253,7.545,vulnerable,63.488,three_toed,Maned three-toed sloth,4.385,6.129
254,8.861,vulnerable,63.503,three_toed,Maned three-toed sloth,4.157,5.627
255,6.896,vulnerable,62.811,three_toed,Maned three-toed sloth,6.267,5.213
256,6.546,vulnerable,64.309,three_toed,Maned three-toed sloth,4.593,6.484
257,9.411,vulnerable,62.424,three_toed,Maned three-toed sloth,5.877,4.455
258,6.086,vulnerable,63.904,three_toed,Maned three-toed sloth,5.909,4.557
259,7.88,vulnerable,63.456,three_toed,Maned three-toed sloth,5.85,4.444
260,7.935,vulnerable,62.824,three_toed,Maned three-toed sloth,5.196,5.89
261,7.109,vulnerable,62.739,three_toed,Maned three-toed sloth,5.541,6.527
262,6.366,vulnerable,63.424,three_toed,Maned three-toed sloth,5.847,6.432
263,6.982,vulnerable,62.471,three_toed,Maned three-toed sloth,4.297,6.558
264,6.905,vulnerable,63.459,three_toed,Maned three-toed sloth,4.851,4.836
265,6.422,vulnerable,62.809,three_toed,Maned three-toed sloth,3.671,5.833
266,7.062,vulnerable,64.996,three_toed,Maned three-toed sloth,3.396,5.661
267,5.749,vulnerable,60.699,three_toed,Maned three-toed sloth,5.258,5.605
268,7.144,vulnerable,64.116,three_toed,Maned three-toed sloth,3.936,4.371
269,6.978,vulnerable,62.094,three_toed,Maned three-toed sloth,5.933,4.818
270,7.124,vulnerable,63.765,three_toed,Maned three-toed sloth,7.195,5.498
271,10.342,vulnerable,64.229,three_toed,Maned three-toed sloth,6.616,5.605
272,7.808,vulnerable,62.714,three_toed,Maned three-toed sloth,5.5,6.551
273,7.54,vulnerable,64.27,three_toed,Maned three-toed sloth,5.772,5.558
274,7.917,vulnerable,63.753,three_toed,Maned three-toed sloth,4.952,5.161
275,7.737,vulnerable,63.078,three_toed,Maned three-toed sloth,4.568,5.746
276,6.369,vulnerable,63.83,three_toed,Maned three-toed sloth,4.088,5.308
277,7.11,vulnerable,63.825,three_toed,Maned three-toed sloth,5.281,6.297
278,7.09,vulnerable,62.236,three_toed,Maned three-toed sloth,5.794,7.547
279,7.777,vulnerable,63.267,three_toed,Maned three-toed sloth,4.767,6.638
280,7.809,vulnerable,63.268,three_toed,Maned three-toed sloth,5.056,4.805
281,6.305,vulnerable,62.909,three_toed,Maned three-toed sloth,7.107,6.09
282,7.316,vulnerable,64.309,three_toed,Maned three-toed sloth,5.996,7.099
283,7.029,vulnerable,64.918,three_toed,Maned three-toed sloth,4.855,3.602
284,6.638,vulnerable,62.981,three_toed,Maned three-toed sloth,4.398,4.451
285,8.002,vulnerable,63.051,three_toed,Maned three-toed sloth,4.891,4.572
286,7.03,vulnerable,63.156,three_toed,Maned three-toed sloth,4.234,6.248
287,8.277,vulnerable,63.443,three_toed,Maned three-toed sloth,5.033,7.935
288,7.546,vulnerable,62.909,three_toed,Maned three-toed sloth,5.521,5.981
289,5.462,vulnerable,62.918,three_toed,Maned three-toed sloth,3.295,5.831
290,8.975,vulnerable,64.295,three_toed,Maned three-toed sloth,4.873,7.092
291,9.347,vulnerable,65.115,three_toed,Maned three-toed sloth,1.783,4.869
292,10.511,vulnerable,63.946,three_toed,Maned three-toed sloth,6.559,8.132
293,9.458,vulnerable,62.154,three_toed,Maned three-toed sloth,4.835,4.425
294,6.782,vulnerable,62.818,three_toed,Maned three-toed sloth,6.381,6.459
295,7.201,vulnerable,62.548,three_toed,Maned three-toed sloth,3.975,4.72
296,5.918,vulnerable,63.596,three_toed,Maned three-toed sloth,4.245,8.222
297,6.899,vulnerable,63.233,three_toed,Maned three-toed sloth,4.163,6.68
298,9.422,vulnerable,64.178,three_toed,Maned three-toed sloth,6.34,7.58
299,8.162,vulnerable,64.121,three_toed,Maned three-toed sloth,5.87,5.332
300,6.633,vulnerable,63.959,three_toed,Maned three-toed sloth,5.569,5.347
301,8.413,vulnerable,63.776,three_toed,Maned three-toed sloth,6.469,7.362
302,5.004,vulnerable,63.055,three_toed,Maned three-toed sloth,4.889,5.623
303,7.159,vulnerable,62.337,three_toed,Maned three-toed sloth,5.087,6.934
304,6.973,vulnerable,63.342,three_toed,Maned three-toed sloth,4.631,6.344
305,7.898,vulnerable,62.384,three_toed,Maned three-toed sloth,4.984,5.102
306,7.887,vulnerable,63.452,three_toed,Maned three-toed sloth,4.724,6.525
307,7.364,vulnerable,64.377,three_toed,Maned three-toed sloth,1.112,6.2
308,6.403,vulnerable,62.647,three_toed,Maned three-toed sloth,3.505,3.954
309,7.173,vulnerable,64.081,three_toed,Maned three-toed sloth,3.958,5.986
310,8.808,vulnerable,63.704,three_toed,Maned three-toed sloth,3.732,5.652
311,7.058,vulnerable,62.734,three_toed,Maned three-toed sloth,6.096,5.186
312,8.866,vulnerable,63.967,three_toed,Maned three-toed sloth,5.276,5.537
313,8.224,vulnerable,65.008,three_toed,Maned three-toed sloth,5.965,6.962
314,8.159,vulnerable,62.576,three_toed,Maned three-toed sloth,4.359,5.683
315,10.179,vulnerable,62.822,three_toed,Maned three-toed sloth,4.565,5.83
316,7.466,vulnerable,63.895,three_toed,Maned three-toed sloth,4.655,5.462
317,7.393,vulnerable,62.166,three_toed,Maned three-toed sloth,6.597,5.735
318,8.105,vulnerable,63.257,three_toed,Maned three-toed sloth,4.561,5.151
319,7.114,vulnerable,63.712,three_toed,Maned three-toed sloth,4.15,5.585
320,8.817,vulnerable,63.353,three_toed,Maned three-toed sloth,4.418,5.258
321,7.685,vulnerable,62.622,three_toed,Maned three-toed sloth,4.3,5.738
322,7.864,vulnerable,63.248,three_toed,Maned three-toed sloth,5.351,3.868
323,7.399,vulnerable,63.836,three_toed,Maned three-toed sloth,5.797,6.2
324,8.667,vulnerable,62.118,three_toed,Maned three-toed sloth,5.001,4.871
325,5.695,vulnerable,62.67,three_toed,Maned three-toed sloth,5.057,6.474
326,7.455,vulnerable,61.481,three_toed,Maned three-toed sloth,4.66,6.028
327,6.704,vulnerable,63.896,three_toed,Maned three-toed sloth,4.464,6.63
328,6.418,vulnerable,61.505,three_toed,Maned three-toed sloth,5.916,5.707
329,9.479,vulnerable,62.626,three_toed,Maned three-toed sloth,5.177,4.987
330,4.999,vulnerable,63.586,three_toed,Maned three-toed sloth,4.697,6.222
331,7.651,vulnerable,64.602,three_toed,Maned three-toed sloth,4.144,5.581
332,7.92,vulnerable,63.145,three_toed,Maned three-toed sloth,6.4,6.78
333,6.548,vulnerable,65.432,three_toed,Maned three-toed sloth,5.377,5.181
334,6.795,vulnerable,63.084,three_toed,Maned three-toed sloth,4.928,5.369
335,7.859,vulnerable,63.999,three_toed,Maned three-toed sloth,5.537,4.86
336,8.304,vulnerable,63.249,three_toed,Maned three-toed sloth,5.101,6.653
337,6.438,vulnerable,63.47,three_toed,Maned three-toed sloth,6.572,5.588
338,8.185,vulnerable,61.542,three_toed,Maned three-toed sloth,5.006,6.133
339,9.009,vulnerable,62.897,three_toed,Maned three-toed sloth,4.733,6.672
340,6.8,vulnerable,63.232,three_toed,Maned three-toed sloth,4.807,5.455
341,6.404,vulnerable,64.161,three_toed,Maned three-toed sloth,2.829,5.041
